shabby	∫ǽbi
shabbygenteel	∫ǽbidʒentíʒl
shabbygentility	∫ǽbidʒentíʒliti
shabbily	∫ǽbili
shabbiness	∫ǽbinis
chablis	∫æblíʒ
shad	∫æd
shadbush	∫ǽdbú∫
shaddock	∫ǽdək
shadow	∫ǽdou
shadowgraph	∫ǽdougræ̀f
shadowy	∫ǽdoui
shadowiness	∫ǽdouinis
shadowland	∫ǽdoulæ̀nd
shafting	∫ǽftiŋ
shag	∫æg
shag	∫æg
shagbark	∫ægbàʒʒrk
shaganappi	∫ǽgənæ̀pi
shaggymane	∫ǽgənmèin
shaggy	∫ægì
shaggily	∫ægìli
shagginess	∫ægìnis
shack	∫æk
shackle	∫ǽkəl
shako	∫ǽkou
chalet	∫æléi
shallop	∫ǽləp
challis	∫ǽlis
shallow	∫ǽlou
shallowbrained	∫ǽloubréind
sham	∫æm
shamba	∫ǽmbə
shamble	∫ǽmbə́l
shambles	∫ǽmbə̀lz
chambray	∫ǽmbrei
shambling	∫æmbάlik
champaign	∫æméin
shamemer	∫ǽmər
shammer	∫ǽmər
shamaterur	∫ǽmətə̀ʒr
chamois	∫ǽmi
shammy	∫ǽmi
champagne	∫æmpéin
champers	∫ǽmpərz
champignon	∫æmpínjən
shampoo	∫æmpúʒ
chandelle	∫ændél
chandelier	∫æ̀ndəlíər
shandygaff	∫ǽndigæ̀f
shandrydan	∫ǽndridǽn
chanterelle	∫ǽntərél
chantey	∫ǽnti
shanty	∫ǽnti
shantytown	∫ǽntitàun
shantung	∫æntλŋ
shangrila	∫ǽŋgrilάʒʒ
shanghai	∫æŋhάi
shank	∫æŋk
chancroed	∫ǽŋkrɔid
chaperonage	∫ǽpæròunidʒ
chaparral	∫æ̀pərǽl
chapeau	∫æpóu
chaps	∫æps
charabanc	∫ǽrəbæ̀ŋ
sharon	∫ǽrən
chasse	∫æséi
chasseur	∫æsə́ʒr
chassis	∫ǽsi
chatelain	∫ǽtəlèin
chatelaine	∫ǽtəlèin
shatter	∫ǽtə́r
chateau	∫ætóu
chateaubriand	∫ætòubriάʒŋ
shatterproof	∫ǽtprúʒf
cheviot	∫ǽviət
sharkbait	∫àərkbéit
charlatanic	∫àərlətǽnik
charmeuse	∫aərmjúʒz
chartreuse	∫aərtrúʒz
charge	∫aərʒéi
shy	∫ai
shy	∫ai
cheyenne	∫aiǽn
shine	∫ain
shypoo	∫aipúʒ
shock	∫ak
shocked	∫akt
shoppe	∫ap
shopfitter	∫apfìtər
showd	∫aud
shout	∫aut
shah	∫aʒ
chaconne	∫aʒkɔ́ʒnʒ
shalom	∫aʒlóum
champleve	∫àʒnləvéi
chansonnier	∫àʒnsənjéi
chanson	∫aʒnsɔ́ʒŋ
chanteuse	∫aʒntə́ʒz
chantage	∫aʒntάʒʒ
shard	∫aʒrd
shark	∫aʒrk
sharp	∫aʒrp
chasse	∫aʒs
shed	∫ed
shed	∫ed
cheddite	∫édait
chef	∫ef
sheffield	∫éfiʒld
shay	∫ei
shady	∫éidi
shadily	∫éidili
shadiness	∫éidinis
shading	∫éidiŋ
shadeless	∫éidlis
shaef	∫eif
shade	∫eiid
shake	∫eik
shakedown	∫éikdάun
shakable	∫éikəbl
shaken	∫éikən
shaky	∫éiki
shakily	∫éikili
shakiness	∫éikinis
shaking	∫éikiŋ
shakespeare	∫éikspiər
shakespeareana	∫eikspìəriǽnə
shakeup	∫éikλp
shale	∫eil
scheelite	∫éilait
shaly	∫éili
shame	∫eim
shamefaced	∫éimféisd
shamefacedly	∫éimféisdli
shamefacedness	∫éimféisdnis
shameful	∫éimfəl
shamefully	∫éimfəli
shamefulness	∫éimfəlnis
shameless	∫éimlis
shamemaking	∫éimméikiŋ
chaine	∫einéi
scena	∫éinə
shape	∫eip
shape	∫eip
shapable	∫éipəbl
shapeless	∫eiples
shapely	∫eipli
shaped	∫eipt
shapeup	∫éipλp
shave	∫eiv
shaved	∫eivd
shaven	∫éivən
shaver	∫éivər
shavian	∫éiviən
shaving	∫éiviŋ
shaveling	∫éivliŋ
shavetail	∫éivtéil
chaise	∫eiz
shekel	∫ékəl
shell	∫el
shill	∫el
shellback	∫élbæ̀k
shelterbelt	∫élbélt
shelled	∫eld
sheldrake	∫éldréik
sheller	∫élər
shelf	∫elf
shelfful	∫élffùl
shellfish	∫élfi∫
shellfire	∫élfάiər
shelly	∫éli
chellean	∫éliən
schelling	∫éliŋ
shelling	∫éliŋ
shellshocked	∫éll∫àkt
shelllime	∫éllàim
shellless	∫éllis
shellproof	∫éllprúʒf
shellproof	∫élprúʒf
shelta	∫éltə
shelter	∫éltər
shelty	∫élti
shelve	∫elv
shelving	∫élviŋ
shelves	∫elvz
shem	∫em
shemite	∫émait
sienkiewiez	∫enkjéivit∫
shepherd	∫épərd
shepherdess	∫épərdis
shepherdspurse	∫épərdzpə́ʒrs
sheridan	∫érədn
sherry	∫éri
sheriff	∫érif
sheriffalty	∫érifəlti
sheryglass	∫ériglæ̀s
chevrolet	∫évəlèi
chevalier	∫èvəliər
chevy	∫évi
chevron	∫évrən
chevrotain	∫évrətèin
shirtmaker	∫éʒrtmèikər
shoshoni	∫ə∫óuni
chautauqua	∫əəɔ́ʒkwə
chagrin	∫əgrín
chagall	∫əgάʒl
scheherazade	∫əhérəzάʒdə
shakespeareana	∫əiksìəriən
shellac	∫əlǽk
shellacking	∫əlǽkiŋ
chemise	∫əmiʒz
chamade	∫əmάʒd
shamal	∫əmάʒʒl
chenille	∫əniʒl
charade	∫əréid
charrette	∫ərét
charivari	∫ərìvəríʒ
sharia	∫əríʒə
sharif	∫əríʒf
shirty	∫ə́rti
cheroot	∫ərúʒt
shadoof	∫əsúʒf
chatoyant	∫ətɔ́iənt
chevalet	∫əvǽlei
chevet	∫əvéi
schonberg	∫ə́ʒnbərg
shirr	∫əʒr
sherbet	∫ə́ʒrbit
sherd	∫əʒrd
shirring	∫ə́ʒriŋ
shirk	∫əʒrk
shirley	∫ə́ʒrli
thurston	∫ə́ʒrstən
shirt	∫əʒrt
shirtband	∫ə́ʒrtbæ̀nd
shirting	∫ə́ʒrtiŋ
shirtoffhisback	∫ə́ʒrtɔʒfhizbæ̀k
shirtsleeve	∫əʒrtslíʒv
shirtsuit	∫ə́ʒrtsùʒt
shirttail	∫ə́ʒrttèil
shirtwaist	∫əʒrtwéist
cher	∫ɛər
share	∫ɛər
share	∫ɛər
schottische	∫fάti∫
shebang	∫ibǽŋ
shebeen	∫ibíʒnʒ
shear	∫iər
sheer	∫iər
shearer	∫íərər
shearing	∫íəriŋ
shearwater	∫íərwɔ̀ʒtər
chifforobe	∫ifəròub
shift	∫ift
shifter	∫íftər
shifty	∫ífti
shifting	∫íftiŋ
shiftless	∫íftlis
shiftlessly	∫íftlisli
shiftlessness	∫íftlisnis
chiffon	∫ifάn
shigella	∫igélə
shigellosis	∫ìgəlóusis
chicanismo	∫ikaʒnizmou
chicane	∫ikéin
chicahery	∫ikéinəri
shelkinah	∫ikíʒnə
shiksa	∫íksə
shikar	∫ikάər
chicago	∫ikάʒgou
chicagoan	∫ikάʒgouən
schiller	∫ílər
shillyshally	∫íli∫ǽli
schilling	∫íliŋ
shilling	∫íliŋ
shim	∫im
shimmer	∫ímər
shimmy	∫ími
chimerep	∫imiər
shemozzle	∫imάzl
shin	∫in
shenanigan	∫inǽnigən
shinbone	∫inbóun
shindy	∫índi
shindig	∫índig
xinhuashe	∫ínhuάʒ∫λ
hsinhua	∫ínhwάʒ
shinny	∫íni
shinto	∫íntou
chinook	∫inúk
chinookan	∫inúkən
shingles	∫íŋgəlz
shingly	∫íŋgli
shinkin	∫íŋkən
ship	∫ip
ship	∫ip
longship	∫íp
shipshape	∫íp∫éip
shipshape	∫íp∫èip
shipbuilder	∫ípbíldər
shipbuilding	∫ípbíldiŋ
shipboard	∫ípbɔ́ʒrd
shippen	∫ípən
shipper	∫ípər
shipfitter	∫ipfìtər
shiprigged	∫ípígd
shipping	∫ípiŋ
shippingbill	∫ípiŋbìl
shippingmaster	∫ípiŋmæ̀stər
shipyard	∫ípjάʒʒrd
shipline	∫iplàin
shipload	∫íplóud
shipmate	∫ípméit
shipman	∫ipmən
shipment	∫ípmənt
shipowner	∫ípóunər
shippane	∫ípplèin
shipwreck	∫íprék
shipwrecked	∫íprèkt
shipwright	∫íprάit
shiptoship	∫íptə∫íp
shipway	∫ípwéi
shipworm	∫ípwə́ʒrm
scirocco	∫irάkou
schist	∫ist
schisttosome	∫ìstəsə̀um
schostosome	∫ístəsòum
schistose	∫ístous
shit	∫it
shitbox	∫ítbàks
shithead	∫íthèd
shitty	∫íti
shiteater	∫ítìʒtər
shitless	∫ítlis
shiv	∫iv
chivalrous	∫ivælrəs
chivalric	∫ivǽlrik
chivalry	∫ivəlri
shiver	∫ívər
shiver	∫ívər
shivery	∫ívəri
shivering	∫ívəriŋ
shiveringly	∫ívəriŋli
shivaree	∫ìvəríʒ
she	∫iʒ
shiite	∫íʒait
shiite	∫íʒait
sheba	∫íʒbə
shedevil	∫íʒdévl
shihtzu	∫íʒdzuʒ
shiah	∫íʒə
sheaf	∫iʒf
shiism	∫íʒizm
chillon	∫iʒjɔ́ʒŋ
chic	∫iʒk
shield	∫iʒld
shieling	∫íʒliŋ
sheeny	∫íʒni
chignon	∫iʒnjan
chinoiserie	∫iʒnwάʒzəri
sheen	∫íʒnʒ
xingu	∫iʒŋgúʒ
sheol	∫íʒoul
sheep	∫íʒp
sheepshearing	∫íʒp∫íəriŋ
chypre	∫iʒpər
sheepfarmer	∫íʒpfάʒʒrmər
sheepherder	∫íʒphə́ʒrdər
sheephook	∫íʒphúk
sheepish	∫íʒpi∫
sheepcote	∫íʒpkóut
sheepshead	∫íʒpshèd
sheepskin	∫íʒpskín
sheepwalk	∫íʒpwɔ́ʒk
shepine	∫íʒpάin
sheet	∫iʒt
sheatfish	∫íʒtfì∫
sheave	∫iʒv
shiva	∫íʒvə
sheaves	∫iʒvz
xizang	∫íʒzàʒŋ
sheathe	∫iʒʒ
sheathing	∫íʒʒiŋ
sheath	∫iʒθ
xiamen	∫iάʒmén
schlang	∫læŋ
schlock	∫lak
shlock	∫lak
schlenter	∫léntər
schlepp	∫lep
shlep	∫lep
